,ID,z_elaboration,z_flexibility,z_originality,fluency,z_fluency,creativity_score
0,1iqEw1mh,-0.13601312832311874,0.3780341741047154,-0.15530474936720845,6.0,-0.3915609742481158,-0.0762111694584319
1,1Pk6vsdc,0.39907148639860157,0.07840058231422825,0.16476097695883618,6.0,-0.3915609742481158,0.06266801785588756
2,1wDA8K0i,-0.6175892815726671,0.749144096677577,-0.48273418258412154,9.0,0.38049211278527156,0.007328186326514968
3,2i6a0RJF,-0.537326589364409,0.32646890880040436,0.43499874124607635,3.0,-1.1636140612815031,-0.23486825014985785
4,3aha6xp3,0.577433024639175,-0.13698972423635355,-0.590641396505411,8.0,0.12314108377414243,-0.006764253082111794
5,4jiHnbUp,-0.40355543568397895,-0.613196541088007,-0.43350270488640597,5.0,-0.6489120032592449,-0.5247916712294092
6,4OYYt6IN,-0.0022419746426887155,0.14382595172318327,0.3763334826772126,5.0,-0.6489120032592449,-0.03274863587538443
7,54Ht6qgt,-0.06912755148290371,0.07411365620252916,0.40950234158440146,11.0,0.8951941708075298,0.3274206542778892
8,5DmGh9OK,-0.3653351060609989,0.142386836447676,-0.34352040277338053,6.0,-0.3915609742481158,-0.23950741165870482
9,5GqGIEFc,-0.0630470444974296,-0.12483831273950706,-0.029217100357545045,10.0,0.6378431417964007,0.10518517105047974
10,6i6C5JY0,-0.2506741171920589,0.4199232685407945,0.4499617271764918,13.0,1.409896228829788,0.5072767768387538
11,6iOWHlt6,-0.31437466656369223,-0.3356745599630624,0.2761559480002391,8.0,0.12314108377414243,-0.06268804868809325
12,6ObI9a3U,-0.13601312832311874,0.2045927928663859,0.35463720648958613,2.0,-1.4209650902926323,-0.24943705481494474
13,6VEHgcgb,-0.36533510606099906,-0.7896093779742337,0.4425737105785344,5.0,-0.6489120032592449,-0.3403206941789858
14,825iLiQg,-0.13601312832311874,-0.256065836042172,0.32195218864248043,8.0,0.12314108377414243,0.013253577012833036
15,8tbjZrxR,0.8271391781759778,-0.18743631211233747,-0.17916192384859947,9.0,0.38049211278527156,0.2102582637500781
16,92hJbjbJ,-0.13601312832311876,0.17224285688050409,0.04088008452782377,7.0,-0.13420994523698668,-0.014275033037944397
17,9zkKGiIO,0.13152917903774144,-0.1734631480470086,0.11779576734024859,11.0,0.8951941708075298,0.2427639922846278
18,Ae03nGkd,-0.2819452959744971,-0.4627711734040641,-0.42723161381914365,10.0,0.6378431417964007,-0.133526235350326
19,Aibgcwta,-0.13601312832311874,0.8370353350354438,-0.34358948759750674,3.0,-1.1636140612815031,-0.2015453355416712
20,aiQDNnS1,-0.13601312832311874,-0.022756935867407475,0.44380959244429036,5.0,-0.6489120032592449,-0.0909681187513702
21,AL2v5msW,0.024512256093397376,-0.01410051661325995,-0.8425011710849827,4.0,-0.9062630322703741,-0.43458811596880487
22,ApnQIKXt,-0.13601312832311874,0.03737181383354567,-0.8801286516390237,4.0,-0.9062630322703741,-0.4712582495997427
23,aQslyU4N,-0.5373265893644091,0.2832473255743993,-0.9307525391781458,5.0,-0.6489120032592449,-0.45843595155685013
24,axIoHrak,0.049208469080553686,-0.07639337457278358,0.20672999569550077,11.0,0.8951941708075298,0.26868481525270016
25,b48YHrPq,0.43729181602158157,-0.09399980858211972,-0.5580613688294138,6.0,-0.3915609742481158,-0.15158258390951695
26,BgG4CGNS,-0.365335106060999,-0.23733121037781688,0.46230693083333685,6.0,-0.3915609742481158,-0.13298008996339872
27,BLMvpQXg,0.6666137937594618,-0.8310815347404548,-0.8432796700415803,4.0,-0.9062630322703741,-0.47850261082323686
28,BN4oZ9hv,-0.002241974642688651,0.5047964741377207,-0.2096763587357434,5.0,-0.6489120032592449,-0.08900846562498907
29,BUcv4aXx,0.46595706323881675,0.011502602478244412,-0.292575165436732,11.0,0.8951941708075298,0.27001966777196473
30,C6BouFsy,0.3990714863986017,-0.3632042996593843,-0.3404793985504739,13.0,1.409896228829788,0.2763210042546329
31,cCfFKijG,-0.2089792121488079,0.5488935128088145,0.44671884061166334,10.0,0.6378431417964007,0.35611907076701765
32,CfaYDHbz,0.024512256093397376,0.07344496019329358,0.06459821061570765,4.0,-0.9062630322703741,-0.18592690134199386
33,cQ4xlOsa,0.34556302492642954,0.2288078534267762,0.14999314858477697,9.0,0.38049211278527156,0.2762140349308136
34,d7looMSf,-0.13601312832311874,0.5518663575374669,0.2658020602520232,10.0,0.6378431417964007,0.329874607815693
35,Dw75KSEe,-0.13601312832311876,0.1485801720933946,-0.07198488773124803,12.0,1.1525451998186589,0.27328183896442165
36,e2wkv9vP,0.1315291790377414,0.34865328569403403,0.07466748852201012,11.0,0.8951941708075298,0.36251103101532883
37,e7raNxB5,0.26530033271817155,-0.2186181835694146,0.08269172030213964,13.0,1.409896228829788,0.38481752457017115
38,EA5vdzDY,0.1850376405099135,-0.06363493504839021,0.23390794648836102,4.0,-0.9062630322703741,-0.13773809508012244
39,EfSuxyxI,-0.403555435683979,0.0886928998815261,0.189550415724047,19.0,2.954002402896563,0.7071725707045392
40,EtSERu5K,0.2207099481580282,-0.05441862657432534,0.4796228998943366,6.0,-0.3915609742481158,0.06358831180748091
41,EuN1dlrL,0.009919039328259547,0.07167611785989793,0.027296915517804013,10.0,0.6378431417964007,0.18668380362559053
42,f93W9P3i,-0.07427259585522795,0.3810078905044922,-0.15909118625097893,12.0,1.1525451998186589,0.32504732705423606
43,fCzEYjBK,-0.25949419325890044,-0.08909299462439292,0.04192560157084894,12.0,1.1525451998186589,0.2114709033765536
44,fd1uCh2r,0.48825225551888835,-0.42493641960977535,-0.7943017050561124,6.0,-0.3915609742481158,-0.28063671084877884
45,fKwTstoR,0.024512256093397376,-0.19145847068948116,0.4020998923141891,9.0,0.38049211278527156,0.15391144762584422
46,fTEbUG8B,-0.31437466656369223,-0.28648958864358065,-0.13361675775374662,8.0,0.12314108377414243,-0.15283498229671927
47,FTEiu4kQ,0.46595706323881664,0.3573572106113567,0.10929147277231974,3.0,-1.1636140612815031,-0.057752078664752515
48,fUlfYgEB,-0.0022419746426886786,0.09402146045398528,-0.22856453416960662,5.0,-0.6489120032592449,-0.19642426290438875
49,g7mra5DR,0.3455630249264295,0.28029092962766483,-0.13888406054496233,8.0,0.12314108377414243,0.1525277444458186
50,g8vtNhyw,-0.281945295974497,0.23069174262504175,0.16332719136925192,10.0,0.6378431417964007,0.18747919495404933
51,GH5xmilJ,-0.2697842820035488,0.6621807183697823,-0.14489395116356174,5.0,-0.6489120032592449,-0.10035237951414329
52,Gwb6OtMn,0.36562869797849407,0.04640436091109658,0.34202709894132577,7.0,-0.13420994523698668,0.15496255314848242
53,gWhNG9nA,-0.4927362048042656,0.003603122409758729,-0.13334960690407127,8.0,0.12314108377414243,-0.12483540138110893
54,GYjO6sPi,-0.05575043611486068,-0.179283832507961,0.12361206850811471,9.0,0.38049211278527156,0.06726747816764114
55,h7n76Dml,-0.36533510606099895,-0.42790149809017786,0.42894730084194027,6.0,-0.3915609742481158,-0.1889625693893381
56,HBhKyeLa,0.06464360219752639,0.058905141669441885,-0.07448735908209375,9.0,0.38049211278527156,0.10738837439253653
57,hLqMeQIf,0.1850376405099135,0.4556246569231884,0.4505372485877975,4.0,-0.9062630322703741,0.04623412843763133
58,hsjNAb8S,1.6297661002585584,-0.5316733565696132,-0.5256170268146655,5.0,-0.6489120032592449,-0.01910907159624131
59,htVSzh55,-0.13601312832311874,0.011955981067248751,-0.1432845480234444,10.0,0.6378431417964007,0.09262536162927157
60,HZhVRhhr,0.13152917903774144,-0.7728934042994458,-0.7709063184777473,2.0,-1.4209650902926323,-0.708308908508021
61,I5BWd4tQ,0.024512256093397376,-0.1827701549571183,0.11885433422348027,8.0,0.12314108377414243,0.020934379783475447
62,I5kHbTOQ,-0.40355543568397895,0.12026745684578397,0.06593746139825991,8.0,0.12314108377414243,-0.02355235841644817
63,IEwm6yg5,0.04234840991745473,0.365871846960678,0.15166147124407478,8.0,0.12314108377414243,0.1707557029740875
64,iGj6tvcS,-0.25067411719205884,0.660826627011775,-0.25057744916297797,6.0,-0.3915609742481158,-0.057996478397844414
65,iHOUt9LM,0.9584781290622182,0.3148747242695631,0.1024099418883214,10.0,0.6378431417964007,0.5034014842541258
66,iJBmXF2t,-0.3366698588437639,0.596959747341222,0.21558998376446045,19.0,2.954002402896563,0.8574705687896204
67,IJpkHSfH,-0.09779279870013872,-0.0648706935186423,0.24413725982248355,20.0,3.2113534319076917,0.8232067998778486
68,iqm6he7D,0.8959357714973419,-0.8747548467003291,0.43615972811250986,6.0,-0.3915609742481158,0.01644491966535172
69,IUCjJGkh,-0.13601312832311876,-0.29274254723926973,-0.42750054714100333,10.0,0.6378431417964007,-0.054603270226747797
70,Iuk9FG64,-0.13601312832311874,-0.05623543456007725,0.15988781409993374,10.0,0.6378431417964007,0.1513705982532846
71,IvqgjfvV,1.4692407158420422,-0.28823083556060414,0.47325842332667056,4.0,-0.9062630322703741,0.1870013178344336
72,iXV9pvpJ,0.6666137937594618,0.03357729299028491,0.28218445055030866,11.0,0.8951941708075298,0.4693924270268963
73,ixyhPbcs,0.43729181602158157,0.10651628229988885,0.4102094230905181,6.0,-0.3915609742481158,0.14061413679096818
74,iZnv7s6k,0.23854610198208542,-0.42007962300500556,0.08446635968087939,14.0,1.6672472578409172,0.3925450241247191
75,j2c9vRdM,0.36562869797849407,0.5131153532912466,0.06483253064162636,7.0,-0.13420994523698668,0.2023416591685951
76,J8PXYz1M,-0.04683235920283203,-0.31859118525239466,0.38247298285989634,8.0,0.12314108377414243,0.03504763054470302
77,JC052UVl,-0.33666985884376394,0.5819289788705295,-0.5574395533007162,3.0,-1.1636140612815031,-0.36894862363886344
78,joBv3L1o,0.13152917903774144,0.24063458978319432,0.3472774258066276,14.0,1.6672472578409172,0.5966721131171202
79,JqTdRVMm,-0.021352139454178656,0.3597264753599609,0.1510818099285382,20.0,3.2113534319076917,0.925202394435503
80,kAU7zpJN,-0.0022419746426886413,-1.0417827671077435,0.45866405090013634,5.0,-0.6489120032592449,-0.3085681735273852
81,kbbuVjfZ,0.2079698382837015,-0.8628197760818397,0.3517481573794224,6.0,-0.3915609742481158,-0.1736656886667079
82,KCnd2hMP,-0.2363414935834413,0.2942493411259729,0.4309032940124176,7.0,-0.13420994523698668,0.08865029907949062
83,KDOMc7R6,0.15585120697963784,-0.46429984716857864,-0.49148993461554064,10.0,0.6378431417964007,-0.04052385825202018
84,KGhEqAvi,0.2653003327181715,-0.15101847301647703,0.2041381094239149,9.0,0.38049211278527156,0.17472802047772024
85,kHQvVslj,-0.13601312832311876,-0.31665000087591094,-0.2974746793538833,5.0,-0.6489120032592449,-0.3497624529530395
86,KoDbHUO1,-0.33666985884376394,-0.6488128859713551,0.36932579603135707,3.0,-1.1636140612815031,-0.4449427525163163
87,KPYrqRmk,0.0646436021975264,0.58960856453029,0.35001211341843885,7.0,-0.13420994523698668,0.2175135837273171
88,kRf98I2W,-0.3366698588437638,0.0850044470298123,-0.7353453783913689,3.0,-1.1636140612815031,-0.537656212871706
89,ktop4iFM,-0.021352139454178687,-0.06430806619670973,0.016808092322902646,6.0,-0.3915609742481158,-0.11510327189402539
90,KvyrhVKk,0.024512256093397366,-0.12927352414120807,0.17859897319481408,19.0,2.954002402896563,0.7569600270108915
91,KwxEFHdd,0.934156101120322,-0.20611871272143545,-0.6366845604796212,4.0,-0.9062630322703741,-0.20372755108777718
92,kXt6NhRA,-0.13601312832311874,0.4346038721668912,-0.7094254803178339,3.0,-1.1636140612815031,-0.39361219943889114
93,L4xxyY1Q,-0.0022419746426886413,-0.4396164546234999,-0.6590762110948977,5.0,-0.6489120032592449,-0.43746166090508276
94,lgesHeHT,-0.25067411719205884,0.37005687951339283,0.41044836026858633,6.0,-0.3915609742481158,0.03456753708545114
95,lGN63PPh,-0.0022419746426886483,0.2948892016932995,0.020486144331647988,11.0,0.8951941708075298,0.3020818855474472
96,Lj8UvQkF,-0.0022419746426886413,-0.13241486548372397,0.13396396845854222,5.0,-0.6489120032592449,-0.16240121873177882
97,llpj4msT,-0.2965385127396349,0.3303205110727593,-1.1952909206346856,4.0,-0.9062630322703741,-0.5169429886429838
98,LN2MeiKc,-0.13601312832311874,-0.9586319948000593,0.2981588351162158,4.0,-0.9062630322703741,-0.4256873300693341
99,LQRTwtH5,-0.0022419746426887155,0.042142621347602265,-0.11260863359571359,11.0,0.8951941708075298,0.20562154597918245
100,MBAGjqTX,-0.43699822410408645,-0.4620685369969293,0.27169067294391813,7.0,-0.13420994523698668,-0.19039650834852107
101,MoxOdakz,-0.13601312832311874,-0.07017251721397692,0.23674758507634971,4.0,-0.9062630322703741,-0.21892527318278002
102,mP8JA4GS,0.024512256093397376,0.5319516682944234,0.38237382762309974,9.0,0.38049211278527156,0.32983246619904805
103,Ms83Fjo6,-0.18617731095328002,0.06948366538001517,-0.12943825933838743,15.0,1.9245982868520464,0.41961659548509855
104,n2S4Mkkl,-0.32123472572679124,0.1423144037951392,-0.18535739518660155,12.0,1.1525451998186589,0.1970668706751013
105,n79w6WBq,0.13152917903774144,0.26813616385347316,0.3967878635587721,2.0,-1.4209650902926323,-0.1561279709606614
106,nbzS4BHD,0.2079698382837015,-0.41418165723338907,-0.3310724105322085,6.0,-0.3915609742481158,-0.23221130093250297
107,NCXGv40e,0.22881729080532692,0.15663573370761688,-0.12237278418065099,10.0,0.6378431417964007,0.22523084553217337
108,nEidXsX3,0.6666137937594618,0.22956790586409426,0.1643363966989527,6.0,-0.3915609742481158,0.1672392805185982
109,nqS3as1K,-0.13601312832311874,-0.1285682328490322,0.30916240870902545,5.0,-0.6489120032592449,-0.1510827389305926
110,nVoVwtsP,0.24417857161073508,-0.20063717776749987,0.3443743360898177,17.0,2.4393003448743045,0.7068040187018394
111,obPxQy2q,-0.13601312832311876,0.2874186839601989,-0.20777679866199475,5.0,-0.6489120032592449,-0.1763208115710399
112,oC3gcmYO,-0.4570638971561509,0.5235956020206551,0.4247206930658952,4.0,-0.9062630322703741,-0.10375265858499366
113,OKWrhCmJ,-0.25067411719205884,0.33637194911157714,-0.26384639016162287,6.0,-0.3915609742481158,-0.1424273831225551
114,oMjJUROo,-0.29653851273963483,0.003695327080047983,-0.08843373040939717,4.0,-0.9062630322703741,-0.32188498708483954
115,P0e8zTvw,0.13152917903774144,-0.7784915531555378,0.2879409329613693,5.0,-0.6489120032592449,-0.251983361103918
116,p5br4oJZ,0.4372918160215816,-0.039217387376723666,0.46956097499359534,6.0,-0.3915609742481158,0.11901860734758436
